x,y,threat
-1.8,-4.6,1.00001
-1.7,-4.6,1.00001
-1.6,-4.6,1.00002
-1.5,-4.6,1.00004
-1.4,-4.6,1.00008
-1.3,-4.6,1.00015
-1.2,-4.6,1.00027
-1.1,-4.6,1.00047
-1,-4.6,1.00083
-0.9,-4.6,1.00141
-0.8,-4.6,1.00236
-0.7,-4.6,1.00386
-0.6,-4.6,1.00617
-0.5,-4.6,1.00966
-0.4,-4.6,1.01478
-0.3,-4.6,1.02213
-0.2,-4.6,1.03241
-0.1,-4.6,1.04642
0,-4.6,1.06502
0.1,-4.6,1.08907
0.2,-4.6,1.11933
0.3,-4.6,1.15634
0.4,-4.6,1.20032
0.5,-4.6,1.25102
0.6,-4.6,1.30762
0.7,-4.6,1.36869
0.8,-4.6,1.43213
0.9,-4.6,1.49535
1,-4.6,1.5553
1.1,-4.6,1.60879
1.2,-4.6,1.65274
1.3,-4.6,1.68445
1.4,-4.6,1.70189
1.5,-4.6,1.70393
1.6,-4.6,1.69043
1.7,-4.6,1.66229
1.8,-4.6,1.62132
1.9,-4.6,1.57007
2,-4.6,1.51155
2.1,-4.6,1.44896
2.2,-4.6,1.38539
2.3,-4.6,1.32358
2.4,-4.6,1.26576
2.5,-4.6,1.21352
2.6,-4.6,1.16784
2.7,-4.6,1.12911
2.8,-4.6,1.09721
2.9,-4.6,1.07167
3,-4.6,1.05177
3.1,-4.6,1.03668
3.2,-4.6,1.02552
3.3,-4.6,1.01747
3.4,-4.6,1.0118
3.5,-4.6,1.0079
3.6,-4.6,1.00528
3.7,-4.6,1.00354
3.8,-4.6,1.00241
3.9,-4.6,1.00169
4,-4.6,1.00122
4.1,-4.6,1.00091
4.2,-4.6,1.00071
4.3,-4.6,1.00057
4.4,-4.6,1.00047
4.5,-4.6,1.00039
4.6,-4.6,1.00032
4.7,-4.6,1.00027
4.8,-4.6,1.00022
4.9,-4.6,1.00018
5,-4.6,1.00015
-5,-4.5,1
-4.9,-4.5,1
-4.8,-4.5,1
-4.7,-4.5,1
-4.6,-4.5,1
-4.5,-4.5,1
-4.4,-4.5,1
-4.3,-4.5,1
-4.2,-4.5,1
-4.1,-4.5,1
-4,-4.5,1
-3.9,-4.5,1
-3.8,-4.5,1
-3.7,-4.5,1
-3.6,-4.5,1
-3.5,-4.5,1
-3.4,-4.5,1
-3.3,-4.5,1
-3.2,-4.5,1
-3.1,-4.5,1
-3,-4.5,1
-2.9,-4.5,1
-2.8,-4.5,1
-2.7,-4.5,1
-2.6,-4.5,1
-2.5,-4.5,1
-2.4,-4.5,1
-2.3,-4.5,1
-2.2,-4.5,1
-2.1,-4.5,1
-2,-4.5,1.00001
-1.9,-4.5,1.00001
-1.8,-4.5,1.00001
-1.7,-4.5,1.00002
-1.6,-4.5,1.00004
-1.5,-4.5,1.00007
-1.4,-4.5,1.00012
-1.3,-4.5,1.00021
-1.2,-4.5,1.00038
-1.1,-4.5,1.00066
-1,-4.5,1.00115
-0.9,-4.5,1.00196
-0.8,-4.5,1.00327
-0.7,-4.5,1.00533
-0.6,-4.5,1.00853
-0.5,-4.5,1.01334
-0.4,-4.5,1.02041
-0.3,-4.5,1.03056
-0.2,-4.5,1.04474
-0.1,-4.5,1.06407
0,-4.5,1.08973
0.1,-4.5,1.12291
0.2,-4.5,1.16466
0.3,-4.5,1.21573
0.4,-4.5,1.27641
0.5,-4.5,1.34636
0.6,-4.5,1.42446
0.7,-4.5,1.50871
0.8,-4.5,1.59625
0.9,-4.5,1.68346
1,-4.5,1.76618
1.1,-4.5,1.83999
1.2,-4.5,1.90063
1.3,-4.5,1.94438
1.4,-4.5,1.96845
1.5,-4.5,1.97127
1.6,-4.5,1.95266
1.7,-4.5,1.91384
1.8,-4.5,1.85733
1.9,-4.5,1.78662
2,-4.5,1.70589
2.1,-4.5,1.61955
2.2,-4.5,1.53185
2.3,-4.5,1.44658
2.4,-4.5,1.3668
2.5,-4.5,1.29474
2.6,-4.5,1.23172
2.7,-4.5,1.17829
2.8,-4.5,1.13428
2.9,-4.5,1.09905
3,-4.5,1.07159
3.1,-4.5,1.05077
3.2,-4.5,1.03536
3.3,-4.5,1.02425
3.4,-4.5,1.01643
3.5,-4.5,1.01104
3.6,-4.5,1.00741
3.7,-4.5,1.00501
3.8,-4.5,1.00345
3.9,-4.5,1.00243
4,-4.5,1.00178
4.1,-4.5,1.00135
4.2,-4.5,1.00106
4.3,-4.5,1.00085
4.4,-4.5,1.0007
4.5,-4.5,1.00058
4.6,-4.5,1.00049
4.7,-4.5,1.00041
4.8,-4.5,1.00034
4.9,-4.5,1.00028
5,-4.5,1.00023
-5,-4.4,1
-4.9,-4.4,1
-4.8,-4.4,1
-4.7,-4.4,1
-4.6,-4.4,1
-4.5,-4.4,1
-4.4,-4.4,1
-4.3,-4.4,1
-4.2,-4.4,1
-4.1,-4.4,1
-4,-4.4,1
-3.9,-4.4,1
-3.8,-4.4,1
-3.7,-4.4,1
-3.6,-4.4,1
-3.5,-4.4,1
-3.4,-4.4,1
-3.3,-4.4,1
-3.2,-4.4,1
-3.1,-4.4,1
-3,-4.4,1
-2.9,-4.4,1
-2.8,-4.4,1
-2.7,-4.4,1
-2.6,-4.4,1
-2.5,-4.4,1.00001
-2.4,-4.4,1.00001
-2.3,-4.4,1.00001
-2.2,-4.4,1.00001
-2.1,-4.4,1.00001
-2,-4.4,1.00002
-1.9,-4.4,1.00002
-1.8,-4.4,1.00003
-1.7,-4.4,1.00004
-1.6,-4.4,1.00007
-1.5,-4.4,1.00011
-1.4,-4.4,1.00018
-1.3,-4.4,1.00031
-1.2,-4.4,1.00054
-1.1,-4.4,1.00093
-1,-4.4,1.00159
-0.9,-4.4,1.00268
-0.8,-4.4,1.00445
-0.7,-4.4,1.00724
-0.6,-4.4,1.01155
-0.5,-4.4,1.01804
-0.4,-4.4,1.02758
-0.3,-4.4,1.04126
-0.2,-4.4,1.06038
-0.1,-4.4,1.08643
0,-4.4,1.12103
0.1,-4.4,1.16575
0.2,-4.4,1.22202
0.3,-4.4,1.29086
0.4,-4.4,1.37265
0.5,-4.4,1.46694
0.6,-4.4,1.57221
0.7,-4.4,1.68577
0.8,-4.4,1.80378
0.9,-4.4,1.92134
1,-4.4,2.03284
1.1,-4.4,2.13233
1.2,-4.4,2.21407
1.3,-4.4,2.27305
1.4,-4.4,2.30551
1.5,-4.4,2.30932
1.6,-4.4,2.28424
1.7,-4.4,2.23193
1.8,-4.4,2.15576
1.9,-4.4,2.06047
2,-4.4,1.95167
2.1,-4.4,1.83529
2.2,-4.4,1.7171
2.3,-4.4,1.60217
2.4,-4.4,1.49466
2.5,-4.4,1.39753
2.6,-4.4,1.3126
2.7,-4.4,1.24058
2.8,-4.4,1.18127
2.9,-4.4,1.13378
3,-4.4,1.09678
3.1,-4.4,1.0687
3.2,-4.4,1.04794
3.3,-4.4,1.03295
3.4,-4.4,1.0224
3.5,-4.4,1.01513
3.6,-4.4,1.01022
3.7,-4.4,1.00697
3.8,-4.4,1.00484
3.9,-4.4,1.00346
4,-4.4,1.00256
4.1,-4.4,1.00197
4.2,-4.4,1.00156
4.3,-4.4,1.00127
4.4,-4.4,1.00105
4.5,-4.4,1.00088
4.6,-4.4,1.00074
4.7,-4.4,1.00062
4.8,-4.4,1.00051
4.9,-4.4,1.00042
5,-4.4,1.00035
-5,-4.3,1
-4.9,-4.3,1
-4.8,-4.3,1
-4.7,-4.3,1
-4.6,-4.3,1
-4.5,-4.3,1
-4.4,-4.3,1
-4.3,-4.3,1
-4.2,-4.3,1
-4.1,-4.3,1
-4,-4.3,1
-3.9,-4.3,1
-3.8,-4.3,1
-3.7,-4.3,1
-3.6,-4.3,1
-3.5,-4.3,1
-3.4,-4.3,1
-3.3,-4.3,1
-3.2,-4.3,1
-3.1,-4.3,1
-3,-4.3,1
-2.9,-4.3,1.00001
-2.8,-4.3,1.00001
-2.7,-4.3,1.00001
-2.6,-4.3,1.00001
-2.5,-4.3,1.00001
-2.4,-4.3,1.00002
-2.3,-4.3,1.00002
-2.2,-4.3,1.00003
-2.1,-4.3,1.00004
-2,-4.3,1.00005
-1.9,-4.3,1.00006
-1.8,-4.3,1.00008
-1.7,-4.3,1.00011
-1.6,-4.3,1.00015
-1.5,-4.3,1.00021
-1.4,-4.3,1.00032
-1.3,-4.3,1.0005
-1.2,-4.3,1.00082
-1.1,-4.3,1.00135
-1,-4.3,1.00223
-0.9,-4.3,1.00369
-0.8,-4.3,1.00603
-0.7,-4.3,1.00972
-0.6,-4.3,1.01541
-0.5,-4.3,1.02397
-0.4,-4.3,1.03655
-0.3,-4.3,1.05457
-0.2,-4.3,1.07975
-0.1,-4.3,1.11407
0,-4.3,1.15963
0.1,-4.3,1.21853
0.2,-4.3,1.29263
0.3,-4.3,1.38327
0.4,-4.3,1.49098
0.5,-4.3,1.61514
0.6,-4.3,1.75376
0.7,-4.3,1.9033
0.8,-4.3,2.05869
0.9,-4.3,2.2135
1,-4.3,2.36033
1.1,-4.3,2.49135
1.2,-4.3,2.59899
1.3,-4.3,2.67666
1.4,-4.3,2.71941
1.5,-4.3,2.72443
1.6,-4.3,2.69142
1.7,-4.3,2.62255
1.8,-4.3,2.52226
1.9,-4.3,2.39679
2,-4.3,2.25353
2.1,-4.3,2.1003
2.2,-4.3,1.94468
2.3,-4.3,1.79336
2.4,-4.3,1.65179
2.5,-4.3,1.52391
2.6,-4.3,1.41208
2.7,-4.3,1.31725
2.8,-4.3,1.23916
2.9,-4.3,1.17663
3,-4.3,1.1279
3.1,-4.3,1.09093
3.2,-4.3,1.06357
3.3,-4.3,1.04383
3.4,-4.3,1.02992
3.5,-4.3,1.02032
3.6,-4.3,1.01384
3.7,-4.3,1.00954
3.8,-4.3,1.00671
3.9,-4.3,1.00486
4,-4.3,1.00365
4.1,-4.3,1.00284
4.2,-4.3,1.00227
4.3,-4.3,1.00187
4.4,-4.3,1.00155
4.5,-4.3,1.0013
4.6,-4.3,1.0011
4.7,-4.3,1.00092
4.8,-4.3,1.00077
4.9,-4.3,1.00063
5,-4.3,1.00052
-5,-4.2,1
-4.9,-4.2,1
-4.8,-4.2,1
-4.7,-4.2,1
-4.6,-4.2,1
-4.5,-4.2,1
-4.4,-4.2,1
-4.3,-4.2,1
-4.2,-4.2,1
-4.1,-4.2,1
-4,-4.2,1
-3.9,-4.2,1
-3.8,-4.2,1
-3.7,-4.2,1
-3.6,-4.2,1
-3.5,-4.2,1
-3.4,-4.2,1
-3.3,-4.2,1
-3.2,-4.2,1.00001
-3.1,-4.2,1.00001
-3,-4.2,1.00001
-2.9,-4.2,1.00001
-2.8,-4.2,1.00002
